   #Energy      xx              yy   
  10.537      0.1271E+01      0.1749E+01
  10.545      0.1265E+01      0.1747E+01
  10.553      0.1260E+01      0.1743E+01
  10.560      0.1255E+01      0.1740E+01
  10.568      0.1249E+01      0.1737E+01
  10.576      0.1244E+01      0.1733E+01
  10.584      0.1239E+01      0.1730E+01
  10.592      0.1234E+01      0.1726E+01
  10.600      0.1228E+01      0.1722E+01
  10.608      0.1223E+01      0.1718E+01
  10.616      0.1218E+01      0.1714E+01
  10.624      0.1213E+01      0.1709E+01
  10.632      0.1208E+01      0.1705E+01
  10.639      0.1203E+01      0.1701E+01
  10.647      0.1198E+01      0.1696E+01
  10.655      0.1193E+01      0.1691E+01
  10.663      0.1188E+01      0.1686E+01
  10.671      0.1183E+01      0.1681E+01
  10.679      0.1178E+01      0.1677E+01
  10.687      0.1173E+01      0.1672E+01
  10.695      0.1169E+01      0.1667E+01
  10.703      0.1164E+01      0.1662E+01
  10.711      0.1159E+01      0.1657E+01
  10.719      0.1155E+01      0.1652E+01
  10.726      0.1151E+01      0.1647E+01
  10.734      0.1147E+01      0.1642E+01
  10.742      0.1143E+01      0.1637E+01
  10.750      0.1138E+01      0.1632E+01
  10.758      0.1134E+01      0.1627E+01
  10.766      0.1130E+01      0.1622E+01
  10.774      0.1126E+01      0.1617E+01
  10.782      0.1123E+01      0.1612E+01
  10.790      0.1119E+01      0.1607E+01
  10.798      0.1116E+01      0.1602E+01
  10.806      0.1112E+01      0.1597E+01
  10.813      0.1109E+01      0.1592E+01
  10.821      0.1106E+01      0.1587E+01
  10.829      0.1103E+01      0.1583E+01
  10.837      0.1100E+01      0.1578E+01
  10.845      0.1097E+01      0.1574E+01
  10.853      0.1094E+01      0.1569E+01
  10.861      0.1091E+01      0.1565E+01
  10.869      0.1089E+01      0.1560E+01
  10.877      0.1086E+01      0.1556E+01
  10.884      0.1084E+01      0.1552E+01
  10.892      0.1082E+01      0.1548E+01
  10.900      0.1080E+01      0.1543E+01
  10.908      0.1078E+01      0.1539E+01
  10.916      0.1076E+01      0.1536E+01
  10.924      0.1074E+01      0.1532E+01
  10.932      0.1072E+01      0.1528E+01
  10.940      0.1070E+01      0.1524E+01
  10.948      0.1069E+01      0.1521E+01
  10.956      0.1067E+01      0.1517E+01
  10.964      0.1066E+01      0.1514E+01
  10.972      0.1065E+01      0.1511E+01
  10.979      0.1064E+01      0.1508E+01
  10.987      0.1062E+01      0.1504E+01
  10.995      0.1062E+01      0.1502E+01
  11.003      0.1061E+01      0.1499E+01
  11.011      0.1060E+01      0.1496E+01
  11.019      0.1059E+01      0.1494E+01
  11.027      0.1058E+01      0.1491E+01
  11.035      0.1057E+01      0.1489E+01
  11.043      0.1057E+01      0.1487E+01
  11.050      0.1056E+01      0.1485E+01
  11.058      0.1056E+01      0.1484E+01
  11.066      0.1055E+01      0.1482E+01
  11.074      0.1055E+01      0.1480E+01
  11.082      0.1054E+01      0.1479E+01
  11.090      0.1054E+01      0.1478E+01
  11.098      0.1054E+01      0.1477E+01
  11.106      0.1054E+01      0.1476E+01
  11.114      0.1054E+01      0.1475E+01
  11.122      0.1054E+01      0.1474E+01
  11.130      0.1053E+01      0.1473E+01
  11.137      0.1053E+01      0.1473E+01
  11.145      0.1053E+01      0.1473E+01
  11.153      0.1053E+01      0.1473E+01
  11.161      0.1053E+01      0.1472E+01
  11.169      0.1053E+01      0.1473E+01
  11.177      0.1053E+01      0.1473E+01
  11.185      0.1053E+01      0.1473E+01
  11.193      0.1053E+01      0.1473E+01
  11.201      0.1053E+01      0.1473E+01
  11.209      0.1053E+01      0.1474E+01
  11.216      0.1053E+01      0.1475E+01
  11.224      0.1054E+01      0.1475E+01
  11.232      0.1053E+01      0.1475E+01
  11.240      0.1054E+01      0.1476E+01
  11.248      0.1054E+01      0.1477E+01
  11.256      0.1054E+01      0.1477E+01
  11.264      0.1054E+01      0.1477E+01
  11.272      0.1054E+01      0.1478E+01
  11.280      0.1054E+01      0.1478E+01
  11.288      0.1054E+01      0.1479E+01
  11.296      0.1055E+01      0.1479E+01
  11.303      0.1055E+01      0.1479E+01
  11.311      0.1054E+01      0.1479E+01
  11.319      0.1055E+01      0.1479E+01
  11.327      0.1055E+01      0.1479E+01
  11.335      0.1054E+01      0.1479E+01
  11.343      0.1054E+01      0.1478E+01
  11.351      0.1055E+01      0.1477E+01
  11.359      0.1055E+01      0.1477E+01
  11.367      0.1054E+01      0.1475E+01
  11.375      0.1054E+01      0.1474E+01
  11.383      0.1054E+01      0.1473E+01
  11.390      0.1054E+01      0.1471E+01
  11.398      0.1053E+01      0.1470E+01
  11.406      0.1053E+01      0.1468E+01
  11.414      0.1052E+01      0.1465E+01
  11.422      0.1052E+01      0.1463E+01
  11.430      0.1051E+01      0.1460E+01
  11.438      0.1051E+01      0.1457E+01
  11.446      0.1050E+01      0.1455E+01
  11.454      0.1049E+01      0.1451E+01
  11.461      0.1048E+01      0.1448E+01
  11.469      0.1047E+01      0.1444E+01
  11.477      0.1046E+01      0.1441E+01
  11.485      0.1045E+01      0.1437E+01
  11.493      0.1043E+01      0.1433E+01
  11.501      0.1042E+01      0.1429E+01
  11.509      0.1041E+01      0.1425E+01
  11.517      0.1040E+01      0.1420E+01
  11.525      0.1038E+01      0.1416E+01
  11.533      0.1036E+01      0.1412E+01
  11.541      0.1034E+01      0.1407E+01
  11.549      0.1032E+01      0.1403E+01
  11.556      0.1030E+01      0.1399E+01
  11.564      0.1028E+01      0.1394E+01
  11.572      0.1027E+01      0.1389E+01
  11.580      0.1024E+01      0.1385E+01
  11.588      0.1022E+01      0.1380E+01
  11.596      0.1019E+01      0.1376E+01
  11.604      0.1017E+01      0.1372E+01
  11.612      0.1015E+01      0.1368E+01
  11.620      0.1012E+01      0.1363E+01
  11.627      0.1009E+01      0.1360E+01
  11.635      0.1007E+01      0.1356E+01
  11.643      0.1004E+01      0.1352E+01
  11.651      0.1001E+01      0.1348E+01
  11.659      0.9989E+00      0.1345E+01
  11.667      0.9961E+00      0.1342E+01
  11.675      0.9932E+00      0.1338E+01
  11.683      0.9899E+00      0.1336E+01
  11.691      0.9870E+00      0.1332E+01
  11.699      0.9842E+00      0.1330E+01
  11.707      0.9813E+00      0.1327E+01
  11.714      0.9784E+00      0.1325E+01
  11.722      0.9755E+00      0.1323E+01
  11.730      0.9722E+00      0.1320E+01
  11.738      0.9693E+00      0.1319E+01
  11.746      0.9663E+00      0.1317E+01
  11.754      0.9634E+00      0.1315E+01
  11.762      0.9605E+00      0.1314E+01
  11.770      0.9576E+00      0.1312E+01
  11.778      0.9547E+00      0.1311E+01
  11.786      0.9517E+00      0.1310E+01
  11.793      0.9488E+00      0.1309E+01
  11.801      0.9459E+00      0.1308E+01
  11.809      0.9429E+00      0.1307E+01
  11.817      0.9404E+00      0.1307E+01
  11.825      0.9375E+00      0.1306E+01
  11.833      0.9350E+00      0.1306E+01
  11.841      0.9320E+00      0.1305E+01
  11.849      0.9295E+00      0.1305E+01
  11.857      0.9269E+00      0.1305E+01
  11.865      0.9244E+00      0.1305E+01
  11.873      0.9219E+00      0.1304E+01
  11.880      0.9194E+00      0.1304E+01
  11.888      0.9168E+00      0.1304E+01
  11.896      0.9143E+00      0.1304E+01
  11.904      0.9122E+00      0.1304E+01
  11.912      0.9096E+00      0.1304E+01
  11.920      0.9075E+00      0.1303E+01
  11.928      0.9054E+00      0.1303E+01
  11.936      0.9028E+00      0.1303E+01
  11.944      0.9007E+00      0.1303E+01
  11.952      0.8986E+00      0.1303E+01
  11.960      0.8969E+00      0.1302E+01
  11.967      0.8948E+00      0.1302E+01
  11.975      0.8927E+00      0.1302E+01
  11.983      0.8910E+00      0.1302E+01
  11.991      0.8889E+00      0.1301E+01
  11.999      0.8872E+00      0.1301E+01
  12.007      0.8850E+00      0.1300E+01
  12.015      0.8833E+00      0.1300E+01
  12.023      0.8816E+00      0.1299E+01
  12.031      0.8799E+00      0.1299E+01
  12.039      0.8782E+00      0.1298E+01
  12.046      0.8765E+00      0.1297E+01
  12.054      0.8748E+00      0.1296E+01
  12.062      0.8731E+00      0.1296E+01
  12.070      0.8719E+00      0.1295E+01
  12.078      0.8701E+00      0.1294E+01
  12.086      0.8684E+00      0.1293E+01
  12.094      0.8672E+00      0.1291E+01
  12.102      0.8654E+00      0.1290E+01
  12.110      0.8642E+00      0.1289E+01
  12.118      0.8624E+00      0.1288E+01
  12.126      0.8612E+00      0.1286E+01
  12.133      0.8594E+00      0.1285E+01
  12.141      0.8581E+00      0.1284E+01
  12.149      0.8569E+00      0.1282E+01
  12.157      0.8556E+00      0.1281E+01
  12.165      0.8538E+00      0.1279E+01
  12.173      0.8525E+00      0.1277E+01
  12.181      0.8512E+00      0.1275E+01
  12.189      0.8500E+00      0.1274E+01
  12.197      0.8487E+00      0.1272E+01
  12.205      0.8474E+00      0.1270E+01
  12.213      0.8461E+00      0.1268E+01
  12.220      0.8447E+00      0.1266E+01
  12.228      0.8434E+00      0.1264E+01
  12.236      0.8421E+00      0.1261E+01
  12.244      0.8408E+00      0.1259E+01
  12.252      0.8395E+00      0.1257E+01
  12.260      0.8387E+00      0.1254E+01
  12.268      0.8373E+00      0.1252E+01
  12.276      0.8360E+00      0.1249E+01
  12.284      0.8352E+00      0.1246E+01
  12.291      0.8338E+00      0.1244E+01
  12.299      0.8330E+00      0.1241E+01
  12.307      0.8316E+00      0.1239E+01
  12.315      0.8308E+00      0.1236E+01
  12.323      0.8294E+00      0.1233E+01
  12.331      0.8286E+00      0.1230E+01
  12.339      0.8277E+00      0.1227E+01
  12.347      0.8268E+00      0.1224E+01
  12.355      0.8260E+00      0.1221E+01
  12.363      0.8251E+00      0.1217E+01
  12.371      0.8242E+00      0.1215E+01
  12.379      0.8233E+00      0.1212E+01
  12.386      0.8229E+00      0.1208E+01
  12.394      0.8220E+00      0.1205E+01
  12.402      0.8216E+00      0.1202E+01
  12.410      0.8207E+00      0.1199E+01
  12.418      0.8203E+00      0.1195E+01
  12.426      0.8194E+00      0.1192E+01
  12.434      0.8190E+00      0.1189E+01
  12.442      0.8186E+00      0.1185E+01
  12.450      0.8182E+00      0.1182E+01
  12.457      0.8177E+00      0.1179E+01
  12.465      0.8173E+00      0.1175E+01
  12.473      0.8173E+00      0.1172E+01
  12.481      0.8169E+00      0.1169E+01
  12.489      0.8165E+00      0.1166E+01
  12.497      0.8165E+00      0.1162E+01
  12.505      0.8161E+00      0.1159E+01
  12.513      0.8161E+00      0.1155E+01
  12.521      0.8157E+00      0.1152E+01
  12.529      0.8158E+00      0.1149E+01
  12.537      0.8158E+00      0.1146E+01
  12.544      0.8158E+00      0.1143E+01
  12.552      0.8154E+00      0.1140E+01
  12.560      0.8154E+00      0.1137E+01
  12.568      0.8155E+00      0.1134E+01
  12.576      0.8155E+00      0.1131E+01
  12.584      0.8151E+00      0.1128E+01
  12.592      0.8151E+00      0.1126E+01
  12.600      0.8151E+00      0.1122E+01
  12.608      0.8152E+00      0.1120E+01
  12.616      0.8147E+00      0.1117E+01
  12.623      0.8148E+00      0.1115E+01
  12.631      0.8143E+00      0.1112E+01
  12.639      0.8143E+00      0.1109E+01
  12.647      0.8139E+00      0.1107E+01
  12.655      0.8134E+00      0.1104E+01
  12.663      0.8135E+00      0.1102E+01
  12.671      0.8130E+00      0.1100E+01
  12.679      0.8126E+00      0.1097E+01
  12.687      0.8121E+00      0.1095E+01
  12.695      0.8117E+00      0.1093E+01
  12.703      0.8107E+00      0.1091E+01
  12.710      0.8103E+00      0.1089E+01
  12.718      0.8093E+00      0.1087E+01
  12.726      0.8089E+00      0.1085E+01
  12.734      0.8079E+00      0.1083E+01
  12.742      0.8070E+00      0.1081E+01
  12.750      0.8060E+00      0.1079E+01
  12.758      0.8051E+00      0.1078E+01
  12.766      0.8041E+00      0.1075E+01
  12.774      0.8032E+00      0.1074E+01
  12.782      0.8022E+00      0.1072E+01
  12.790      0.8008E+00      0.1071E+01
  12.797      0.7998E+00      0.1069E+01
  12.805      0.7984E+00      0.1067E+01
  12.813      0.7974E+00      0.1065E+01
  12.821      0.7959E+00      0.1064E+01
  12.829      0.7945E+00      0.1062E+01
  12.837      0.7930E+00      0.1060E+01
  12.845      0.7916E+00      0.1059E+01
  12.853      0.7901E+00      0.1057E+01
  12.861      0.7887E+00      0.1055E+01
  12.868      0.7872E+00      0.1053E+01
  12.876      0.7857E+00      0.1052E+01
  12.884      0.7843E+00      0.1050E+01
  12.892      0.7828E+00      0.1048E+01
  12.900      0.7813E+00      0.1046E+01
  12.908      0.7798E+00      0.1044E+01
  12.916      0.7784E+00      0.1043E+01
  12.924      0.7769E+00      0.1041E+01
  12.932      0.7754E+00      0.1038E+01
  12.940      0.7739E+00      0.1037E+01
  12.948      0.7724E+00      0.1034E+01
  12.956      0.7709E+00      0.1032E+01
  12.963      0.7694E+00      0.1030E+01
  12.971      0.7679E+00      0.1028E+01
  12.979      0.7669E+00      0.1026E+01
  12.987      0.7654E+00      0.1024E+01
  12.995      0.7639E+00      0.1021E+01
  13.003      0.7624E+00      0.1019E+01
  13.011      0.7614E+00      0.1016E+01
  13.019      0.7599E+00      0.1014E+01
  13.027      0.7589E+00      0.1011E+01
  13.034      0.7574E+00      0.1009E+01
  13.042      0.7563E+00      0.1006E+01
  13.050      0.7548E+00      0.1003E+01
  13.058      0.7538E+00      0.1001E+01
  13.066      0.7528E+00      0.9977E+00
  13.074      0.7512E+00      0.9949E+00
  13.082      0.7502E+00      0.9920E+00
  13.090      0.7492E+00      0.9891E+00
  13.098      0.7481E+00      0.9863E+00
  13.106      0.7471E+00      0.9834E+00
  13.114      0.7461E+00      0.9800E+00
  13.121      0.7450E+00      0.9771E+00
  13.129      0.7440E+00      0.9742E+00
  13.137      0.7424E+00      0.9708E+00
  13.145      0.7414E+00      0.9679E+00
  13.153      0.7408E+00      0.9650E+00
  13.161      0.7398E+00      0.9616E+00
  13.169      0.7387E+00      0.9587E+00
  13.177      0.7377E+00      0.9553E+00
  13.185      0.7366E+00      0.9524E+00
  13.193      0.7356E+00      0.9489E+00
  13.200      0.7345E+00      0.9460E+00
  13.208      0.7334E+00      0.9431E+00
  13.216      0.7324E+00      0.9396E+00
  13.224      0.7313E+00      0.9367E+00
  13.232      0.7307E+00      0.9337E+00
  13.240      0.7297E+00      0.9308E+00
  13.248      0.7286E+00      0.9278E+00
  13.256      0.7275E+00      0.9249E+00
  13.264      0.7265E+00      0.9224E+00
  13.272      0.7259E+00      0.9194E+00
  13.280      0.7248E+00      0.9165E+00
  13.287      0.7237E+00      0.9140E+00
  13.295      0.7227E+00      0.9115E+00
  13.303      0.7221E+00      0.9090E+00
  13.311      0.7210E+00      0.9065E+00
  13.319      0.7199E+00      0.9040E+00
  13.327      0.7188E+00      0.9021E+00
  13.335      0.7182E+00      0.9001E+00
  13.343      0.7171E+00      0.8981E+00
  13.351      0.7166E+00      0.8961E+00
  13.359      0.7155E+00      0.8941E+00
  13.367      0.7144E+00      0.8926E+00
  13.374      0.7138E+00      0.8906E+00
  13.382      0.7127E+00      0.8891E+00
  13.390      0.7121E+00      0.8876E+00
  13.398      0.7110E+00      0.8866E+00
  13.406      0.7104E+00      0.8851E+00
  13.414      0.7093E+00      0.8841E+00
  13.422      0.7087E+00      0.8831E+00
  13.430      0.7081E+00      0.8826E+00
  13.438      0.7070E+00      0.8816E+00
  13.446      0.7064E+00      0.8811E+00
  13.454      0.7058E+00      0.8806E+00
  13.461      0.7052E+00      0.8801E+00
  13.469      0.7040E+00      0.8796E+00
  13.477      0.7034E+00      0.8790E+00
  13.485      0.7028E+00      0.8791E+00
  13.493      0.7022E+00      0.8791E+00
  13.501      0.7016E+00      0.8791E+00
  13.509      0.7010E+00      0.8791E+00
  13.517      0.7004E+00      0.8791E+00
  13.525      0.7003E+00      0.8791E+00
  13.533      0.6997E+00      0.8796E+00
  13.540      0.6990E+00      0.8796E+00
  13.548      0.6984E+00      0.8801E+00
  13.556      0.6983E+00      0.8801E+00
  13.564      0.6977E+00      0.8806E+00
  13.572      0.6976E+00      0.8811E+00
  13.580      0.6970E+00      0.8816E+00
  13.588      0.6969E+00      0.8816E+00
  13.596      0.6962E+00      0.8821E+00
  13.604      0.6961E+00      0.8827E+00
  13.612      0.6955E+00      0.8832E+00
  13.620      0.6954E+00      0.8837E+00
  13.627      0.6953E+00      0.8842E+00
  13.635      0.6946E+00      0.8847E+00
  13.643      0.6945E+00      0.8852E+00
  13.651      0.6944E+00      0.8857E+00
  13.659      0.6943E+00      0.8857E+00
  13.667      0.6937E+00      0.8862E+00
  13.675      0.6936E+00      0.8868E+00
  13.683      0.6934E+00      0.8867E+00
  13.691      0.6933E+00      0.8873E+00
  13.698      0.6927E+00      0.8873E+00
  13.706      0.6926E+00      0.8878E+00
  13.714      0.6924E+00      0.8878E+00
  13.722      0.6923E+00      0.8883E+00
  13.730      0.6917E+00      0.8883E+00
  13.738      0.6916E+00      0.8883E+00
  13.746      0.6914E+00      0.8882E+00
  13.754      0.6913E+00      0.8882E+00
  13.762      0.6907E+00      0.8882E+00
  13.770      0.6905E+00      0.8882E+00
  13.778      0.6899E+00      0.8882E+00
  13.786      0.6898E+00      0.8882E+00
  13.793      0.6891E+00      0.8882E+00
  13.801      0.6890E+00      0.8876E+00
  13.809      0.6883E+00      0.8876E+00
  13.817      0.6877E+00      0.8871E+00
  13.825      0.6876E+00      0.8871E+00
  13.833      0.6869E+00      0.8865E+00
  13.841      0.6862E+00      0.8860E+00
  13.849      0.6856E+00      0.8854E+00
  13.857      0.6849E+00      0.8854E+00
  13.864      0.6843E+00      0.8844E+00
  13.872      0.6836E+00      0.8838E+00
  13.880      0.6829E+00      0.8833E+00
  13.888      0.6818E+00      0.8827E+00
  13.896      0.6811E+00      0.8822E+00
  13.904      0.6804E+00      0.8811E+00
  13.912      0.6792E+00      0.8800E+00
  13.920      0.6786E+00      0.8794E+00
  13.928      0.6774E+00      0.8784E+00
  13.936      0.6767E+00      0.8773E+00
  13.944      0.6755E+00      0.8762E+00
  13.951      0.6743E+00      0.8746E+00
  13.959      0.6731E+00      0.8735E+00
  13.967      0.6724E+00      0.8724E+00
  13.975      0.6712E+00      0.8708E+00
  13.983      0.6700E+00      0.8691E+00
  13.991      0.6688E+00      0.8675E+00
  13.999      0.6676E+00      0.8659E+00
  14.007      0.6664E+00      0.8642E+00
  14.015      0.6651E+00      0.8621E+00
  14.023      0.6639E+00      0.8604E+00
  14.030      0.6627E+00      0.8583E+00
  14.038      0.6620E+00      0.8561E+00
  14.046      0.6608E+00      0.8539E+00
  14.054      0.6596E+00      0.8517E+00
  14.062      0.6583E+00      0.8496E+00
  14.070      0.6571E+00      0.8468E+00
  14.078      0.6559E+00      0.8446E+00
  14.086      0.6552E+00      0.8419E+00
  14.094      0.6539E+00      0.8397E+00
  14.102      0.6527E+00      0.8370E+00
  14.110      0.6520E+00      0.8343E+00
  14.117      0.6508E+00      0.8315E+00
  14.125      0.6501E+00      0.8288E+00
  14.133      0.6494E+00      0.8260E+00
  14.141      0.6486E+00      0.8233E+00
  14.149      0.6474E+00      0.8205E+00
  14.157      0.6467E+00      0.8177E+00
  14.165      0.6460E+00      0.8144E+00
  14.173      0.6458E+00      0.8117E+00
  14.181      0.6451E+00      0.8089E+00
  14.189      0.6444E+00      0.8061E+00
  14.197      0.6442E+00      0.8034E+00
  14.204      0.6435E+00      0.8006E+00
  14.212      0.6433E+00      0.7983E+00
  14.220      0.6426E+00      0.7955E+00
  14.228      0.6424E+00      0.7928E+00
  14.236      0.6422E+00      0.7905E+00
  14.244      0.6420E+00      0.7877E+00
  14.252      0.6418E+00      0.7854E+00
  14.260      0.6417E+00      0.7832E+00
  14.268      0.6415E+00      0.7809E+00
  14.275      0.6418E+00      0.7786E+00
  14.283      0.6416E+00      0.7764E+00
  14.291      0.6415E+00      0.7746E+00
  14.299      0.6413E+00      0.7723E+00
  14.307      0.6416E+00      0.7706E+00
  14.315      0.6414E+00      0.7689E+00
  14.323      0.6413E+00      0.7671E+00
  14.331      0.6416E+00      0.7654E+00
  14.339      0.6414E+00      0.7636E+00
  14.347      0.6418E+00      0.7619E+00
  14.355      0.6416E+00      0.7607E+00
  14.363      0.6414E+00      0.7589E+00
  14.370      0.6417E+00      0.7577E+00
  14.378      0.6416E+00      0.7565E+00
  14.386      0.6414E+00      0.7552E+00
  14.394      0.6412E+00      0.7540E+00
  14.402      0.6410E+00      0.7528E+00
  14.410      0.6413E+00      0.7516E+00
  14.418      0.6411E+00      0.7504E+00
  14.426      0.6409E+00      0.7497E+00
  14.434      0.6407E+00      0.7484E+00
  14.441      0.6400E+00      0.7472E+00
  14.449      0.6398E+00      0.7465E+00
  14.457      0.6396E+00      0.7453E+00
  14.465      0.6394E+00      0.7441E+00
  14.473      0.6387E+00      0.7434E+00
  14.481      0.6385E+00      0.7421E+00
  14.489      0.6377E+00      0.7409E+00
  14.497      0.6370E+00      0.7402E+00
  14.505      0.6368E+00      0.7389E+00
  14.513      0.6360E+00      0.7377E+00
  14.521      0.6353E+00      0.7365E+00
  14.528      0.6345E+00      0.7352E+00
  14.536      0.6337E+00      0.7339E+00
  14.544      0.6330E+00      0.7327E+00
  14.552      0.6322E+00      0.7314E+00
  14.560      0.6315E+00      0.7302E+00
  14.568      0.6307E+00      0.7289E+00
  14.576      0.6294E+00      0.7271E+00
  14.584      0.6286E+00      0.7258E+00
  14.592      0.6279E+00      0.7240E+00
  14.600      0.6265E+00      0.7228E+00
  14.607      0.6258E+00      0.7209E+00
  14.615      0.6245E+00      0.7191E+00
  14.623      0.6237E+00      0.7173E+00
  14.631      0.6224E+00      0.7155E+00
  14.639      0.6216E+00      0.7136E+00
  14.647      0.6203E+00      0.7118E+00
  14.655      0.6189E+00      0.7094E+00
  14.663      0.6182E+00      0.7076E+00
  14.671      0.6168E+00      0.7057E+00
  14.679      0.6160E+00      0.7033E+00
  14.687      0.6147E+00      0.7009E+00
  14.694      0.6134E+00      0.6991E+00
  14.702      0.6126E+00      0.6967E+00
  14.710      0.6112E+00      0.6943E+00
  14.718      0.6099E+00      0.6918E+00
  14.726      0.6091E+00      0.6894E+00
  14.734      0.6078E+00      0.6870E+00
  14.742      0.6064E+00      0.6846E+00
  14.750      0.6056E+00      0.6816E+00
  14.758      0.6043E+00      0.6792E+00
  14.766      0.6035E+00      0.6767E+00
  14.774      0.6021E+00      0.6743E+00
  14.781      0.6013E+00      0.6713E+00
  14.789      0.6000E+00      0.6689E+00
  14.797      0.5992E+00      0.6664E+00
  14.805      0.5983E+00      0.6640E+00
  14.813      0.5970E+00      0.6610E+00
  14.821      0.5962E+00      0.6585E+00
  14.829      0.5954E+00      0.6560E+00
  14.837      0.5940E+00      0.6530E+00
  14.845      0.5932E+00      0.6506E+00
  14.853      0.5924E+00      0.6481E+00
  14.861      0.5916E+00      0.6456E+00
  14.868      0.5908E+00      0.6431E+00
  14.876      0.5900E+00      0.6407E+00
  14.884      0.5891E+00      0.6382E+00
  14.892      0.5883E+00      0.6357E+00
  14.900      0.5875E+00      0.6332E+00
  14.908      0.5867E+00      0.6307E+00
  14.916      0.5864E+00      0.6288E+00
  14.924      0.5856E+00      0.6263E+00
  14.932      0.5848E+00      0.6238E+00
  14.940      0.5845E+00      0.6219E+00
  14.947      0.5837E+00      0.6200E+00
  14.955      0.5835E+00      0.6174E+00
  14.963      0.5832E+00      0.6155E+00
  14.971      0.5824E+00      0.6136E+00
  14.979      0.5821E+00      0.6116E+00
  14.987      0.5819E+00      0.6097E+00
  14.995      0.5816E+00      0.6083E+00
  15.003      0.5808E+00      0.6063E+00
  15.011      0.5805E+00      0.6044E+00
  15.019      0.5802E+00      0.6030E+00
  15.027      0.5800E+00      0.6016E+00
  15.034      0.5803E+00      0.6002E+00
  15.042      0.5800E+00      0.5982E+00
  15.050      0.5798E+00      0.5969E+00
  15.058      0.5795E+00      0.5960E+00
  15.066      0.5792E+00      0.5946E+00
  15.074      0.5795E+00      0.5932E+00
  15.082      0.5793E+00      0.5918E+00
  15.090      0.5796E+00      0.5910E+00
  15.098      0.5793E+00      0.5902E+00
  15.105      0.5796E+00      0.5887E+00
  15.113      0.5793E+00      0.5879E+00
  15.121      0.5796E+00      0.5871E+00
  15.129      0.5799E+00      0.5862E+00
  15.137      0.5797E+00      0.5854E+00
  15.145      0.5800E+00      0.5851E+00
  15.153      0.5803E+00      0.5843E+00
  15.161      0.5806E+00      0.5834E+00
  15.169      0.5809E+00      0.5832E+00
  15.177      0.5812E+00      0.5823E+00
  15.185      0.5815E+00      0.5821E+00
  15.193      0.5818E+00      0.5818E+00
  15.200      0.5821E+00      0.5815E+00
  15.208      0.5824E+00      0.5807E+00
  15.216      0.5827E+00      0.5804E+00
  15.224      0.5830E+00      0.5807E+00
  15.232      0.5833E+00      0.5804E+00
  15.240      0.5842E+00      0.5801E+00
  15.248      0.5845E+00      0.5799E+00
  15.256      0.5848E+00      0.5796E+00
  15.264      0.5857E+00      0.5799E+00
  15.271      0.5860E+00      0.5796E+00
  15.279      0.5863E+00      0.5799E+00
  15.287      0.5871E+00      0.5796E+00
  15.295      0.5875E+00      0.5799E+00
  15.303      0.5883E+00      0.5796E+00
  15.311      0.5892E+00      0.5799E+00
  15.319      0.5895E+00      0.5802E+00
  15.327      0.5904E+00      0.5800E+00
  15.335      0.5907E+00      0.5803E+00
  15.343      0.5916E+00      0.5806E+00
  15.351      0.5925E+00      0.5803E+00
  15.358      0.5934E+00      0.5806E+00
  15.366      0.5937E+00      0.5809E+00
  15.374      0.5946E+00      0.5806E+00
  15.382      0.5955E+00      0.5809E+00
  15.390      0.5958E+00      0.5812E+00
  15.398      0.5966E+00      0.5809E+00
  15.406      0.5975E+00      0.5812E+00
  15.414      0.5978E+00      0.5809E+00
  15.422      0.5987E+00      0.5812E+00
  15.430      0.5996E+00      0.5809E+00
  15.438      0.5999E+00      0.5812E+00
  15.445      0.6008E+00      0.5809E+00
  15.453      0.6011E+00      0.5806E+00
  15.461      0.6020E+00      0.5804E+00
  15.469      0.6023E+00      0.5801E+00
  15.477      0.6026E+00      0.5798E+00
  15.485      0.6035E+00      0.5795E+00
  15.493      0.6038E+00      0.5792E+00
  15.501      0.6042E+00      0.5789E+00
  15.509      0.6045E+00      0.5786E+00
  15.517      0.6048E+00      0.5783E+00
  15.524      0.6051E+00      0.5774E+00
  15.532      0.6054E+00      0.5771E+00
  15.540      0.6051E+00      0.5763E+00
  15.548      0.6054E+00      0.5760E+00
  15.556      0.6051E+00      0.5751E+00
  15.564      0.6054E+00      0.5742E+00
  15.572      0.6052E+00      0.5733E+00
  15.580      0.6049E+00      0.5730E+00
  15.588      0.6052E+00      0.5721E+00
  15.596      0.6049E+00      0.5712E+00
  15.604      0.6046E+00      0.5703E+00
  15.611      0.6037E+00      0.5694E+00
  15.619      0.6034E+00      0.5685E+00
  15.627      0.6032E+00      0.5676E+00
  15.635      0.6029E+00      0.5668E+00
  15.643      0.6020E+00      0.5653E+00
  15.651      0.6017E+00      0.5644E+00
  15.659      0.6008E+00      0.5635E+00
  15.667      0.5999E+00      0.5626E+00
  15.675      0.5996E+00      0.5617E+00
  15.682      0.5988E+00      0.5607E+00
  15.691      0.5979E+00      0.5592E+00
  15.698      0.5970E+00      0.5583E+00
  15.706      0.5961E+00      0.5574E+00
  15.714      0.5958E+00      0.5565E+00
  15.722      0.5949E+00      0.5556E+00
  15.730      0.5940E+00      0.5547E+00
  15.738      0.5931E+00      0.5538E+00
  15.746      0.5922E+00      0.5529E+00
  15.754      0.5913E+00      0.5520E+00
  15.762      0.5904E+00      0.5510E+00
  15.770      0.5895E+00      0.5501E+00
  15.777      0.5886E+00      0.5492E+00
  15.785      0.5877E+00      0.5483E+00
  15.793      0.5868E+00      0.5480E+00
